HAZARDMAPCELLREFERENCE,HAZARDMAP,HAZARDRATINGBYMAP,FILENAME
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Electrical_equipment_inside_sewage_treatment_plant_.png
EL075,"Effective grounding, high voltage
Grounding or bonding conductor(s) are damaged or not observed.",4.0,Unbounded_fence.png
GA039,Painting of exterior piping,1.0,Bella_Bulk_plant.png
EL119,"Conductors
Cables, Raceways or conductors are showing signs of wear and will need to be either replaced or repaired.",2.0,Cable_splice.png
GA023,Inadequate protection Low  traffic,2.0,Jersey_no_post_barrier_below_vehicle_travel_surface.png
GA023,Inadequate protection Low  traffic,2.0,Inadequate_vehicle_protection__.png
BP131,"3.1.1 Safeties will not function - Pressure Relief Device


valve service or test intervals beyond the required interval outlined in CSA B-51",3.0,Safety_valve.png
EL122,"Protection and control
Low voltage protection damaged or not provided.",3.0,White_cable_not_protected.png
EL122,"Protection and control
Low voltage protection damaged or not provided.",3.0,Open_under_desk.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Meter_base_gone.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Screen_room_equipment.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,Hole_in_the_wall.png
EL276,"Life Safety System, Fire Alarm, Emergency systems,
Regular maintenance has not been conducted.",2.0,Main.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flexible_cord_through_doorway.png
EL078,"Installation
Grounding; 
conductor is not continuous.",4.0,Ground_conductor_spliced.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Extension_cord.png
EL092,"Continuity
Bonding conductor is not observed or broken",4.0,No_bond.png
EL080,"Installation
Grounding; 
electrode is not installed or properly installed.",4.0,Wrong_ground.png
EL022,"Improper terminations or splices may result in overheating of conductors
Cables or raceways have been mechanically damaged",4.0,Lucy_s_house.png
EL022,"Improper terminations or splices may result in overheating of conductors
Cables or raceways have been mechanically damaged",4.0,Big_house.png
EL057,"Improper installation or location of equipment, conductors, cables or raceways
Enclosure is not rated for the environment or conditions of use",3.0,CDP_openings.png
EL057,"Improper installation or location of equipment, conductors, cables or raceways
Enclosure is not rated for the environment or conditions of use",3.0,mounting_plate.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Open_conductors.png
EL222,"Class I, Class II, and Class III
Area is classified: 
equipment such as motors, transformers, overcurrent devices, switches and controllers, luminaires, heaters, and appliances are not properly rated.",4.0,North_cabin.png
EL222,"Class I, Class II, and Class III
Area is classified: 
equipment such as motors, transformers, overcurrent devices, switches and controllers, luminaires, heaters, and appliances are not properly rated.",4.0,South_cabin.png
EL153,"Installation of electrical equipment, Risk Reg EL-15-2014
Equipment is not approved for the specific use or location.",3.0,Dart_board_light.png
EL153,"Installation of electrical equipment, Risk Reg EL-15-2014
Equipment is not approved for the specific use or location.",3.0,Lighting_controller.png
EL140,"Installation of electrical equipment
Residential: 
receptacle within 1.5 m of a sink is not GFCI protected.",3.0,Multipurpose_room.png
EL189,"Installation of electrical equipment
• Equipment is showing signs of deterioration; and 
• repairs or maintenance required.",3.0,Maintenance_required.png
EL155,"Installation of electrical equipment, EL-15-2014
Equipment is not approved for the specific use or location.",3.0,Baseboard_covered.png
EL112,"Conductors
Equipment is not approved for the specific use.",3.0,BX_on_exterior_wall.png
EL189,"Installation of electrical equipment
• Equipment is showing signs of deterioration; and 
• repairs or maintenance required.",3.0,Hot_tranny.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Cabtyre.png
EL173,"Installation of electrical equipment
Equipment is not approved for the specific use",3.0,Oldie.png
EL026,"Improper installation or location of equipment, conductors, cables or raceways
Equipment is subject to mechanical damage, and 
adequate mechanical protection has not been provided.",4.0,Into_pit.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flex_cord_2.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flex_cord_4.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flex_cord_3.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flex_cord_1.png
EL025,"Improper installation or location of equipment, conductors, cables or raceways
Raceways are not suitably drained, No expansion joint or not installed correctly.",3.0,PVC_apart.png
EL084,"Equipment
Gas line, cast or water pipe has not been bonded",3.0,Propane_in_boiler_room.png
EL019,"Damage to equipment may result in overheating.
Unused openings in enclosures have not been closed",3.0,Distribution_600_volt.png
EL142,"Installation of electrical equipment
Residential: 
tamper-resistant receptacles have not been installed where required.",3.0,Kids_stuff.png
EL176,"Installation of electrical equipment
Covers or panels removed, exposed live parts.",4.0,Transformer_compound_to_lake.png
EL022,"Improper terminations or splices may result in overheating of conductors
Cables or raceways have been mechanically damaged",4.0,Main_switch.png
EL024,"Conductor ampacity is not adequate for the calculated load
Overcurrent device does not adequately protect conductors",4.0,Dist_with_no_oc_protection.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Compressor_connection.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flexible_cord_above_freezer.png
EL146,"Installation of electrical equipment
Equipment is not approved for the specific use",3.0,Inteerior.png
BP118,"3.0.1 Safeties will not function - AMMONIA -Risk Registry BPV-19


Ammonia Pressure Relief Device discharge location does not meet CSA B-52 code requirements and is likely to cause risk to personnel if overpressure and discharge occurs.",4.0,safety_valve_discahrge_with_air_intake_system.png
BP118,"3.0.1 Safeties will not function - AMMONIA -Risk Registry BPV-19


Ammonia Pressure Relief Device discharge location does not meet CSA B-52 code requirements and is likely to cause risk to personnel if overpressure and discharge occurs.",4.0,safety_valve_discharge_rooftop.png
EL145,"Installation of electrical equipment
Equipment is not approved for the specific use",3.0,Flex_cord.png
EL031,"Improper installation or location of equipment, conductors, cables or raceways
Equipment is not suitable for the location",4.0,Switch_leg_through_panel.png
EL254,"Category 2
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,Effects_of_corrosion.png
EL254,"Category 2
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,No_seal.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Do_not_unplug.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,KO_missing.png
EL254,"Category 2
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,Disconnect_me.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Extension_above_bar.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Air_splice_in_back_room.png
EL120,"Conductors
Cables, Raceways or conductors are damaged and need to be either replaced or repaired.",3.0,EMT_rusted_out.png
EL074,"Effective grounding, high voltage
Fence is not installed.",4.0,No_fence.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,No_fillers.png
EL107,"Conductors
Cables, Raceways or conductors are damaged and need to be either replaced or repaired, No expansion joint or not installed correctly.",3.0,Top_gone.png
EL019,"Damage to equipment may result in overheating.
Unused openings in enclosures have not been closed",3.0,Missing_panel_filler.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Cabinet_deteriorated.png
EL188,"Installation of electrical equipment
Equipment is not approved for the specific use",2.0,Type_1_transformer_enclosure.png
EL188,"Installation of electrical equipment
Equipment is not approved for the specific use",2.0,Storage.png
EL092,"Continuity
Bonding conductor is not observed or broken",4.0,No_bond_on_tower.png
EL031,"Improper installation or location of equipment, conductors, cables or raceways
Equipment is not suitable for the location",4.0,Transfer_switch_rating.png
EL153,"Installation of electrical equipment, Risk Reg EL-15-2014
Equipment is not approved for the specific use or location.",3.0,Timer_switch.png
EL112,"Conductors
Equipment is not approved for the specific use.",3.0,Cord_cap_on_ac_90.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,energized_conductors.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,Covers_missing_above_stage.png
EL279,"Class II, all locations
Seals are not located or installed where required",4.0,No_seal_into_kiosk.png
EL208,"Class I, Class II, and Class III
Area is classified: 
seals are not located or installed where required.",4.0,Copper_corrosion.png
EL140,"Installation of electrical equipment
Residential: 
receptacle within 1.5 m of a sink is not GFCI protected.",3.0,No_gfci.png
EL140,"Installation of electrical equipment
Residential: 
receptacle within 1.5 m of a sink is not GFCI protected.",3.0,No_GFCI_present.png
EL015,"Placement of equipment does not allow for adequate access or egress.
Working space or clearances around equipment are inadequate",3.0,Data_in_front_of_panels.png
EL027,"Improper installation or location of equipment, conductors, cables or raceways
Inadequate Distances;
clearances provided for overhead conductors.",3.0,Could_guy_this.png
EL027,"Improper installation or location of equipment, conductors, cables or raceways
Inadequate Distances;
clearances provided for overhead conductors.",3.0,Two_poles.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Terminus.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Source.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Storage_area.png
BP108,3.0.1 Safeties will not function - Safety Devices installed contrary to the manufacturer instructions and or applicable standards,3.0,Tolko_air_tank_sv.png
EL119,"Conductors
Cables, Raceways or conductors are showing signs of wear and will need to be either replaced or repaired.",2.0,Tech_cable_damaged_2.png
EL119,"Conductors
Cables, Raceways or conductors are showing signs of wear and will need to be either replaced or repaired.",2.0,TECK_radius_damage.png
EL119,"Conductors
Cables, Raceways or conductors are showing signs of wear and will need to be either replaced or repaired.",2.0,TECK_cable_damaged.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Conductors_not_contained_in_raceway.png
EL277,"Life Safety System, Fire Alarm, Emergency systems,
Life safety system is incomplete or showing signs of failure.",3.0,EOL_relay_not_reinstalled.png
EL174,"Installation of electrical equipment
• Equipment is damaged and needs to be either replaced or repaired; and
•  Not suitable for continued use.",4.0,Motor_connection_box_hog_motor_250_horsepower_severely_damaged__dust_entering_motor.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Loose-BX.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Box-1.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Loose_box.png
EL001,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is de-energized; 
• Equipment is intended to be energized and not adequately locked out;
• covers or other protective barriers are not present or damaged;
• live parts are exposed to accidental contact; and 
• in an area that is not normally accessible to persons",3.0,Feeder-loose.png
GA039,Painting of exterior piping,1.0,Pipe_at_meter_coop.png
EL091,"Continuity
Electrical or mechanical continuity for metal raceways or enclosures is not continuous",3.0,No_bonding_bushings.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,Panel_bottom.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Energized_equipment_left_exposed.png
EL017,"Placement of equipment does not allow for adequate access or egress.
• Working space or clearances around equipment are inadequate;  
• Doors or exits are not acceptable.",3.0,Electrical_room_transformer_and_closet_door.png
EL000,No Created Hazard Identified,0.0,Attachment_point_not_connected_to_building.png
BP109,"3.0.1 Safeties will not function - Safety Devices not providing the intended control, e.g. - emergency disconnect switch not provided.",3.0,Boiler_room_exit_without_emergency_shutdown_switch.png
BP022,"1.0.2 Clearances/Maintenance - Insufficient clearance for operation, maintenance and inspection.",2.0,Boiler_with_inadequate_clearance.png
EL003,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• bare live parts such as busbars, terminals, conductors are exposed to accidental contact; and 
• in an area that is normally accessible to persons.",5.0,Open_conductors.png
EL027,"Improper installation or location of equipment, conductors, cables or raceways
Inadequate Distances;
clearances provided for overhead conductors.",3.0,Coiled_conductor.png
EL096,"Effective bonding and grounding
Bonding jumper at service equipment, distribution centre or load centre has not been installed, or has been removed",3.0,Junction_box_to_dock.png
EL053,"Protection and control
Ground-fault protection has not been provided at equipment rated >150 volts to ground and 1000 A or more; or 150 volts to ground or less and 2000 A or more.",4.0,Compressor_and_old_sawmill_building_480V_3_wire_service_no_ground_fault_detection_.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Access_to_MCC_room.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Door_open.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Motor_JB_open.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,200_horse_switch_vs_caterpillar.png
EL150,"Installation of electrical equipment
Fixtures without suitable support.",4.0,QF_comox-3.png
EL150,"Installation of electrical equipment
Fixtures without suitable support.",4.0,QF_comox-2.png
EL150,"Installation of electrical equipment
Fixtures without suitable support.",4.0,QF_comox-4.png
EL150,"Installation of electrical equipment
Fixtures without suitable support.",4.0,QF_comox-5.png
EL150,"Installation of electrical equipment
Fixtures without suitable support.",4.0,QF_comox_-1.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,Fan_motor_switch.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Corroded_supports_1.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Corroded_supports.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Outside_piping_corrosion.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Corroded_pressure_vessel_2.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Corroded_structural_steel.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Outside_piping_corrosion_2.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Moist_insulation.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Corroded_pressure_vessel_.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Piping_insulation_moist.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Ammonia_piping_not_insulated.png
BP044,1.2.0 Corrosion/PSI Retention - Active local or general corrosion or erosion that causes thinning of a pressure retaining component which eliminates the corrosion allowance and is reducing the thickness below the minimum design thickness,3.0,Pressure_vessel_insulation_.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Weekly_checklist.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Would_dust__Wood_dust_thicker_than_the_size_of_a_dime.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Accumulation_of_wood_dust_in_non_hazardous_classified_location.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Wood_dust_accumulatio_on_wax_tank.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Wood_dust_accumulating_on_cable_tray_and_electrical_cables.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Locations_of__locations_of_class_to_class_two_division_one.png
EL112,"Conductors
Equipment is not approved for the specific use.",3.0,Ac90_used_for_flexible__cable.png
GA025,Inadequate protection high traffic,4.0,Barricades_and_signage_missing.png
GA025,Inadequate protection high traffic,4.0,Missing_barricades_to_protect_the_dispenser_.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Opening2.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Service.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Opening1.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Opening3.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Space3.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Space2.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Space1.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Space4.png
GA026,No protection high traffic,5.0,Improper_electrical_connection_.png
GA026,No protection high traffic,5.0,Tank_supported_on_wood_blocks_.png
GA026,No protection high traffic,5.0,No_protection_from_vehicle_traffic_.png
GA026,No protection high traffic,5.0,No_protection_of_propane_tank_.png
GA026,No protection high traffic,5.0,Tank_to_close_to_fuel_tanks_.png
EL039,"Equipment is not marked / identified
Multiple service boxes not marked.",2.0,8540_Alaska_Rd_sub-distribution_.png
AM018,"Defects that are:
Reasonably detectable by maintenance program
Likely to propagate",2.0,Swagged_eye_on_right_side_suspect.png
GA097,"Non compliant venting system ex: improper grading, incorrect glue/ fasteners",2.0,Furnace_venting.png
EL000,No Created Hazard Identified,0.0,Spray_equipment_2.png
