"","Insp_Number","Pmt_Number","CREATEDATE","ACTUALENDDATE","SO","Tech_Insp","Phy_Insp","PREFIX_INSPTYPE","DSCP_INSPTYPE","NAME_INSPSTATUS","SO_Evl_1","BCSA_Evl_1","Hzd_Svrty_1","Dscp_Hzd","COMMENTS","VERSIONNUMBER","Dscp_ImChkLstCtgy","AddressLine1_Insp","AddressLine2_Insp","AddressLine3_Insp","StreetType_Insp","City_Insp","Region_Insp","Province_Insp","PostalCode_Insp","Site_Lat","Site_Lon","RAP_Score","AppldDate_Pmt","PM_PERMIT_TYPE","PMTCLASS","PMTSTATUS","Pmt_Holder"
"31","AMOP-381210-2015","2041911","6/9/2015","6/9/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Surface repair required.","(14 days) (or  prior to opening) Review 2",1,"Non-Compliances for Amusement Devices Technology","","-",NA,"","Salmon Arm","Interior","BC","",NA,NA,NA,"6/11/1993","AM - Operating","Waterslide","Active","0934970 BC Ltd DBA Salmon Arm Water Slides"
"32","AMOP-381149-2015","2041912","6/9/2015","6/9/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Repair running surface of slide.","(14 days) (or  prior to opening) Review 2",1,"Non-Compliances for Amusement Devices Technology","","-",NA,"","Salmon Arm","Interior","BC","",NA,NA,NA,"6/11/1993","AM - Operating","Waterslide","Active","0934970 BC Ltd DBA Salmon Arm Water Slides"
"33","AMOP-340769-2015","2041913","3/27/2015","3/26/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item #6","(1 Day) Excess gear lubricant has leaked",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"5/27/1993","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"34","AMOP-335347-2015","2042450","3/18/2015","3/11/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item #3- Cracked fibreglass poses and snag/ laceration risk.","(1 Day) Replace inadequate blocking - Rea",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"3/9/1994","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"35","AMOP-337208-2015","2042452","3/20/2015","3/19/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","All non-compliances issued on this C of I provide evidence of a lack of qualifications of personnel conducting work and inspection on this device, and a lack of oversight of personnel conducting work and inspection of this device. 7.5.2, 7.5.3, 7.5.4 of","""(1 days) Any cabinet indicating fire ext",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"3/9/1994","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"36","AMOP-344156-2015","2042474","4/3/2015","4/1/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #1, #3 and #4 both provide evidence that the preventative maintenance and inspection program is inadequate. 7.5.2, Z267-00","""(30 days) or prior to next setup. Signif",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"3/9/1994","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"37","AMOP-353450-2015","2042491","4/22/2015","4/22/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Missing hardware on safety bars.","(7 days) Some of the ceiling panel roller",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"3/11/1994","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"38","AMOP-343988-2015","2042513","4/2/2015","4/1/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #1. Lockout location is not identified.","""(7 days) or prior to next setup. Label l",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"6/7/1994","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"39","AMOP-373359-2015","2042523","5/28/2015","5/25/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","Checklist item #1","""(10 days) or prior to public operations.",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1994","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"40","AMOP-373417-2015","2042524","5/28/2015","5/25/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item 1","(10 Days) Monitor Daily- Large bulge that",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1994","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"41","AMOP-337192-2015","2042588","3/20/2015","3/19/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Although no hazards were identified as being an immediate risk to passengers. All non-compliances are providing evidence that inspection and maintenance work is performed by unqualified personnel and that there is a lack of oversight in the inspection and","(7 days) or prior to next setup. PCU #2,",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"5/5/1994","AM - Operating","Kiddie Rides","Cancelled","West Coast Amusements Ltd"
"42","AMOP-356422-2015","2042734","4/28/2015","4/29/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","","(14 days) Power panel at north end of rid",1,"Non-Compliances for Amusement Devices Technology","2901","HASTINGS",NA,"Street","Vancouver","Lower Mainland North","BC","",49,-12,NA,"7/14/1994","AM - Operating","Major Rides","Active","Pacific National Exhibition"
"43","AMOP-381936-2015","2042962","6/10/2015","6/10/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","","","0 - Compliant","","",1,"","3310","37TH",NA,"Avenue","Vernon","Interior","BC","V1T2Y5",50,-11,NA,"10/14/1994","AM - Operating","Waterslide","Active","The Corporation of the City of Vernon"
"44","AMOP-351776-2015","2043317","4/20/2015","4/17/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Cotter pin to be replaced, see item #1","(7 days) On upper platform, where the pla",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"4/5/1995","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"45","AMOP-345547-2015","2043460","4/8/2015","4/8/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #5, 1 PCU mounting bolt found loose, All other fasteners were present and secure.","(60 days) Provide copy of 2015 ND testing",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"9/22/1995","AM - Operating","Major Rides","Active","Shooting Star Amusements Ltd"
"46","AMOP-349070-2015","2043461","4/15/2015","4/8/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Checklist item #1.","(1 Day) Ensure all track support screw ja",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"9/22/1995","AM - Operating","Kiddie Rides","Active","Shooting Star Amusements Ltd"
"47","AMOP-381708-2015","2043535","6/10/2015","6/10/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Repair dent in top of slide.","(60 days) There is a large dent in the to",1,"Non-Compliances for Amusement Devices Technology","7921","GREENHOW",NA,"Road","Vernon","Interior","BC","V1B3S2",50,-11,NA,"6/13/1995","AM - Operating","Waterslide","Active","Atlantis Waterslides (2005) Ltd"
"48","AMOP-381717-2015","2043536","6/10/2015","6/10/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Repair and caulk joints.","(7 days) There are two joints that need a",1,"Non-Compliances for Amusement Devices Technology","7921","GREENHOW",NA,"Road","Vernon","Interior","BC","V1B3S2",50,-11,NA,"6/13/1996","AM - Operating","Waterslide","Active","Atlantis Waterslides (2005) Ltd"
"49","AMOP-381727-2015","2043537","6/10/2015","6/10/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","","","0 - Compliant","","",1,"","7921","GREENHOW",NA,"Road","Vernon","Interior","BC","V1B3S2",50,-11,NA,"6/13/1995","AM - Operating","Waterslide","Active","Atlantis Waterslides (2005) Ltd"
"50","AMOP-381733-2015","2043538","6/10/2015","6/10/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","","","0 - Compliant","","",1,"","7921","GREENHOW",NA,"Road","Vernon","Interior","BC","V1B3S2",50,-11,NA,"6/13/1995","AM - Operating","Waterslide","Active","Atlantis Waterslides (2005) Ltd"
"51","AMOP-341755-2015","2044008","3/30/2015","3/27/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist #2","(1 Day) Secure round checker plate inspec",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"4/25/1996","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"52","AMOP-354083-2015","2044048","4/23/2015","4/23/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 1, facade could fall during erection.","""(7days) Safety Cables for top sigh/facad",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"4/3/1996","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"53","AMOP-315100-2015","2044194","2/4/2015","2/4/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist Item","(2 Days) Permanently identify the manufac",1,"Non-Compliances for Amusement Devices Technology","1875","COLUMBIA",NA,"Avenue","Trail","Interior","BC","V1R4T8",49,-11,NA,"6/7/1996","AM - Operating","Waterslide","Expired","Trail, City Of"
"54","AMOP-319035-2015","2044623","2/13/2015","2/4/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","","""(1 day and prior to daily operations the",1,"Non-Compliances for Amusement Devices Technology","501","3RD",NA,"Avenue","Fernie","Interior","BC","V0B1M0",49.50431,-115.0619886,NA,"12/30/1996","AM - Operating","Waterslide","Active","Fernie, Corp Of The City Of"
"55","AMOP-354116-2015","2044758","4/23/2015","4/22/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","","(1 day) Update daily and weekly inspectio",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"3/14/1997","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"56","AMOP-366857-2015","2044854","5/20/2015","5/20/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Secure barriers required.","(60 days) Continue with mitigation of str",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"4/30/1997","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"57","AMOP-333873-2015","2045353","3/16/2015","3/12/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","","(1 day) Arched lighting fixtures on top o",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"1/22/1997","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
