"","Insp_Number","Pmt_Number","CREATEDATE","ACTUALENDDATE","SO","Tech_Insp","Phy_Insp","PREFIX_INSPTYPE","DSCP_INSPTYPE","NAME_INSPSTATUS","SO_Evl_1","BCSA_Evl_1","Hzd_Svrty_1","Dscp_Hzd","COMMENTS","VERSIONNUMBER","Dscp_ImChkLstCtgy","AddressLine1_Insp","AddressLine2_Insp","AddressLine3_Insp","StreetType_Insp","City_Insp","Region_Insp","Province_Insp","PostalCode_Insp","Site_Lat","Site_Lon","RAP_Score","AppldDate_Pmt","PM_PERMIT_TYPE","PMTCLASS","PMTSTATUS","Pmt_Holder"
"31","AMOP-549179-2016","2047259","3/24/2016","3/24/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","The lap bar is used to ensure riders stay inside the passenger carrier while the ride is operating. This lap bar has a left and a right side latch on it.
During a periodic inspection, it was found that the left side latch of the lap bar was no engaging co","(1 day) car #5 ensure correct operation o",1,"Non-Compliances for Amusement Devices Technology","6982","206th",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/16/2001","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"32","AMOP-549495-2016","2043317","3/24/2016","3/24/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","2_Physical Inspection","","0 - Compliant","","",1,"","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"4/5/1995","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"33","AMOP-342901-2015","2040369","4/1/2015","3/24/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","The swagged eye of a guy cable utilized in providing support for the rotating structure appears in correctly installed. It is suspected that this is not manufacturer's specified equipment and there is a risk the this equipment will not withstand the force","(7 days) It was observed that the swaggin",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"4/9/1991","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"34","AMOP-551010-2016","2053204","3/29/2016","3/24/2016","Tina Wong","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 1","""(1 day) Roof connection points are missi",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"12/1/1977","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"35","AMOP-547864-2016","4490590","3/22/2016","3/29/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","On a personnel carrier unit (PCU) the nut retaining the bolt for a buckle which retains a lap restraint bar has come loose to a point were it could come completely off allowing the bolt to back out. At that point the buckle would no longer be retained.","""(1 days) or prior to public operations.",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDAR",NA,"Road","Chilliwack","Lower Mainland South","BC","",49.1114779,-121.9558009,NA,"8/23/2010","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"36","AMOP-551376-2016","2044008","3/30/2016","3/29/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","It was observed that the cover for the ring gear situated on the backside of the personal carrier unit (PCU) is not securely mounted (missing and broken rivets). There is a risk that if this cover where to become completely loose that it could become enta","(30 days) Electrical junction boxes locat",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"4/25/1996","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"37","AMOP-550612-2016","4341463","3/29/2016","3/29/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","The decorative outside panel is missing on a personal carrier unit (PCU) and is exposing the sharp rivet ends. This presents a laceration injury hazard to riders loading and unloading from the PCU.","(1 days) or prior to public operations. A",1,"Non-Compliances for Amusement Devices Technology","6982","206",NA,"Street","Langley","Lower Mainland South","BC","V2Y1P9",49.1295575,-122.651562,NA,"4/6/2010","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"38","AMOP-548963-2016","2046680","3/23/2016","3/29/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","","(7 days) Secure foot switch cover, missin",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"3/31/2000","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"39","AMOP-550381-2016","5055822","3/29/2016","3/29/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","","","0 - Compliant","","",1,"","6014","VEDDER",NA,"Road","Chilliwack","Lower Mainland South","BC","V2R5P5",49.1119489,-121.9546505,NA,"3/26/2012","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"40","AMOP-548980-2016","2042452","3/23/2016","3/29/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 2","(1 day) ""R"" clips missing from roof facad",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"3/9/1994","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"41","AMOP-551372-2016","2053219","3/30/2016","3/30/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","4 - Major","Ride starts automatically when food peddle is depressed. No actuation of the start button is required.
The stop button and start button on the control panel do not appear functional. Ride will however stop if the foot is lifted from the foot peddle switch","(1 days) PCU 5, damage noted to electrica",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"12/1/1981","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"42","AMOP-551084-2016","7236","3/29/2016","3/30/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 1","(7 days) 4 minor cracks were found on the",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"12/1/1977","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"43","AMOP-551093-2016","2823018","3/29/2016","3/30/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","See item 1","(7 days) Rear car of the train, rear axel",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley City","Lower Mainland South","BC","V2Y1P9",49.1295576,-122.6515794,NA,"9/1/2004","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"44","AMOP-551938-2016","AM-206958-2015","3/31/2016","3/31/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","An adjustable vertical support of a mini roller coaster track is set low (excessive of a 1/4""). Adjustable vertical supports are to be adjusted so as to provide even support of the track structure.

It is suspected, that when vertical supports jacks are n","(1 days) Support jack at track position 8",1,"Non-Compliances for Amusement Devices Technology","","R F Hauser Shows",NA,"","Chilliwack","Lower Mainland South","BC","V2R5P5",NA,NA,NA,"2/3/2015","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"45","AMIN-552774-2016","UW-371728-2016","4/1/2016","3/31/2016","Cam Surine","AM","Y","AMIN","AM Installation: Acceptance Assessment","Conditional Passed","2_Physical Inspection","","0 - Compliant","UW inspection","(30 Days) Obtain a valid Amusement Device",1,"Non-Compliances for Amusement Devices Technology","9280","Number 2",NA,"Road","Richmond","Lower Mainland North","BC","v7e2c8",49.1456686,-123.1586496,NA,"4/1/2016","Unpermitted Work","AM","Closed",""
"46","AMOP-552274-2016","2053231","3/31/2016","3/31/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See items 4 and 5","(7 days) Vertical track support #12, plat",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"8/8/1985","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"47","AMOP-552307-2016","2042491","3/31/2016","3/31/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See any item","(7 days) Cord grip/restraint disengaged,",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/11/1994","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"48","AMOP-553031-2016","3194488","4/1/2016","3/31/2016","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","Faulty air brake relief valve. Operator was aware of this condition. This condition did not affect the ability of the train to stop at the time of the inspection. Train was not operating for public.","""( 14 Days) Replace rotten track ties on",1,"Non-Compliances for Amusement Devices Technology","5048","264",NA,"Street","Aldergrove","Lower Mainland South","BC","V4W1N7",49.0894984,-122.4928704,NA,"3/1/2006","AM - Operating","Train Rides","Active","Greater Vancouver Zoo"
"49","AMOP-547877-2016","2053349","3/22/2016","4/1/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 2","(7 days) Ride sign at front has a weld cr",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"12/1/1976","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"50","AMOP-552776-2016","7198","4/1/2016","4/1/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","See item 1
see item 1","(7 days) Fire extinguisher at ride has no",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"12/1/1974","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"51","AMOP-552805-2016","4341520","4/1/2016","4/1/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Seeitem 2
See item 2","(7 days) Cracked weld on connecting tab o",1,"Non-Compliances for Amusement Devices Technology","7120","205TH",NA,"Street","Langley City","Lower Mainland South","BC","V2Y1T1",49.1320256,-122.6543287,NA,"4/6/2010","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"52","AMIN-572679-2016","AM-381000-2016","5/6/2016","4/1/2016","Cam Surine","AM","Y","AMIN","AM Installation: Acceptance Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","Operator did not have a GFCI device to power the blower.","""(30 Days) Obtain a valid Amusement Devic",1,"Non-Compliances for Amusement Devices Technology","9280","No. 2",NA,"Road","Richmond","Lower Mainland North","BC","V7E2C8",49.1456686,-123.1586496,NA,"4/27/2016","AM - New Installation","Inflatable Devices","Closed","The Tapestry Church"
"53","AMOP-554789-2016","2041913","4/5/2016","4/5/2016","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item 5- tripping hazard.","( 2 Days) Ensure all manufacturers ride d",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"5/27/1993","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"54","AMOP-555627-2016","3730691","4/6/2016","4/6/2016","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","Checklist item #8.","(1 Day) Tighten inside track clamp at the",1,"Non-Compliances for Amusement Devices Technology","45585","LUCKAKUCK",NA,"Way","Chilliwack","Lower Mainland South","BC","V2R1A3",49.1408558,-121.9622845,NA,"3/11/2008","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
